종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
018670,SK가스,"106,500","-2,000","1.84","107,000","106,500","31,752","3,404,348,000","108,500","109,000","105,500","5,000",원(KRW),"9,230,244","983,020,986,000",
001740,SK네트웍스,"4,965","-35","0.70","4,965","4,960","1,168,348","5,799,953,925","5,040","5,040","4,910","2,500",원(KRW),"248,187,647","1,232,251,667,355",
001745,SK네트웍스우,"104,000","-3,500","3.26","104,500","104,000","801","83,618,000","105,500","105,500","104,000","2,500",원(KRW),"113,648","11,819,392,000",
006120,SK디스커버리,"62,500","1,500","2.46","62,500","62,400","182,126","11,310,007,800","61,200","63,800","60,700","5,000",원(KRW),"19,037,855","1,189,865,937,500",
006125,SK디스커버리우,"52,300","-200","0.38","52,400","52,300","20,541","1,079,991,100","52,300","53,500","51,600","5,000",원(KRW),"1,358,455","71,047,196,500",
210980,SK디앤디,"45,500","-1,000","2.15","45,550","45,500","172,005","7,845,295,200","46,050","46,650","44,700","1,000",원(KRW),"18,990,164","864,052,462,000",
068400,SK렌터카,"10,400","300","2.97","10,400","10,350","287,939","2,966,113,250","10,150","10,500","10,000","500",원(KRW),"47,285,840","491,772,736,000",
036490,SK머티리얼즈,"319,700","-18,900","5.58","319,700","319,600","85,830","27,821,636,200","333,300","334,600","315,500","500",원(KRW),"10,547,673","3,372,091,058,100",
326030,SK바이오팜,"154,500","-1,500","0.96","154,500","154,000","400,078","61,591,938,500","155,500","156,000","152,500","500",원(KRW),"78,313,250","12,099,397,125,000",
03473K,SK우,"262,000","-10,000","3.68","262,000","261,500","27,577","7,228,670,000","267,000","270,500","255,500","200",원(KRW),"566,135","148,327,370,000",
096770,SK이노베이션,"284,500","-9,500","3.23","285,000","284,500","2,349,677","666,743,977,500","288,000","297,500","271,500","5,000",원(KRW),"92,465,564","26,306,452,958,000",
096775,SK이노베이션우,"187,000","-5,500","2.86","187,000","186,500","96,585","17,958,465,000","192,500","193,500","178,500","5,000",원(KRW),"1,248,426","233,455,662,000",
001510,SK증권,"940","-33","3.39","941","940","28,974,545","27,602,666,912","976","989","916","500",원(KRW),"472,590,171","444,234,760,740",
001515,SK증권우,"5,210","-80","1.51","5,210","5,200","35,069","182,256,480","5,230","5,250","5,150","500",원(KRW),"3,912,514","20,384,197,940",
285130,SK케미칼,"360,000","-3,000","0.83","360,500","360,000","147,319","53,606,554,500","366,000","371,000","359,000","5,000",원(KRW),"11,741,396","4,226,902,560,000",
28513K,SK케미칼우,"167,000","1,500","0.91","167,000","166,500","20,976","3,485,597,500","164,500","168,500","164,500","5,000",원(KRW),"1,458,670","243,597,890,000",
